year,4
would,1
worse,1
world,1
working,1
without,1
will,3
which,5
were,2
well,1
weather,1
weaken,2
want,2
waited,1
voted,1
validity,1
us-china,1
trade,1
today,1
times,1
thursday,1
through,3
this,3
third,1
thereby,1
themselves,1
them,2
that,6
thailand's,2
thailand,6
thai,3
technology,1
strive,1
strengthening,1
storms,1
storm,7
steered,1
state,1
stalled,1
stable,1
spending,1
somkid,5
some,1
solely,1
since,2
should,3
severe,1
several,1
seven-month,1
sector,2
second,1
said,8
rocking,1
revealed,1
revamped,1
restructuring,1
rely,1
recession,1
rates,1
raised,1
questions,1
public,3
products,1
problems,1
prime,2
present,1
post-election,1
post,1
period,1
past,1
particularly,1
panic,3
outbreak,2
order,1
operators,1
need,1
necessary,1
must,3
much,1
minister,2
march,1
manufacturing,1
managed,1
make,1
light,1
lawmakers,1
last,1
jatusripitak,1
investments,1
internal,1
innovative,1
improve,2
impact,1
however,3
hold,1
have,3
growth,1
government,3
global,1
giving,1
general,1
forum,1
formation,1
fiscal,2
first,1
faced,1
external,1
expressed,1
exports,2
exporters',1
export,1
experienced,1
exchange,1
eventually,1
epidemics,1
end,1
electronics,1
electionhowever,1
economy,7
economic,3
ease,1
during,1
done,1
domestic,2
does,1
disbursement,1
disbursed,1
digital,1
difficulty,1
difficult,1
develop,1
despite,1
deputy,2
dependence,1
delays,1
delay,1
dealt,1
currency,1
create,1
country,2
coronavirus,2
confidence,1
concerns,1
competitiveness,1
coalition,1
chemicals,1
chamber,1
causing,1
caretaker,1
budgets,1
budget,3
blow,1
bill,1
between,2
believe,1
being,1
begun,1
beginning,1
been,4
because,2
balance,2
baht,2
automobiles,1
assurances,1
asked,1
another,2
also,1
along,1
almost,1
agencies,1
after,2
affect,1
administration,1
addressing,1
additional,1
adding,1
added,2
achieve,1
about,2
[storms],1
32-trillion-baht,1
2020,3
